TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
0.098224	37301	0.098224	37621.4	0.098224	37621.4
0.106392	38120	0.106392	37704.9	0.106392	37704.9
0.114557	37845	0.114557	37782.3	0.114557	37782.3
0.122717	37734	0.122717	37854	0.122717	37854
0.130873	37941	0.130873	37920.5	0.130873	37920.5
0.139024	38257	0.139024	37982.2	0.139024	37982.2
0.147169	38070	0.147169	38039.5	0.147169	38039.5
0.155309	37982	0.155309	38092.8	0.155309	38092.8
0.163443	38112	0.163443	38142.3	0.163443	38142.3
0.171571	37647	0.171571	38188.5	0.171571	38188.5
0.179693	38153	0.179693	38231.6	0.179693	38231.6
0.187808	38094	0.187808	38271.8	0.187808	38271.8
0.195915	38229	0.195915	38309.4	0.195915	38309.4
0.204016	38373	0.204016	38344.6	0.204016	38344.6
0.212108	38496	0.212108	38377.5	0.212108	38377.5
0.220193	38673	0.220193	38408.4	0.220193	38408.4
0.228269	38318	0.228269	38437.4	0.228269	38437.4
0.236337	38948	0.236337	38464.6	0.236337	38464.6
0.244396	38351	0.244396	38490.3	0.244396	38490.3
0.252446	39054	0.252446	38514.4	0.252446	38514.4
0.260486	38534	0.260486	38537.2	0.260486	38537.2
0.268516	38735	0.268516	38558.7	0.268516	38558.7
0.276536	38430	0.276536	38579	0.276536	38579
0.284546	38613	0.284546	38598.2	0.284546	38598.2
0.292545	38703	0.292545	38616.3	0.292545	38616.3
0.300533	38574	0.300533	38633.5	0.300533	38633.5
0.30851	38958	0.30851	38649.9	0.30851	38649.9
0.316475	38422	0.316475	38665.3	0.316475	38665.3
0.324429	38846	0.324429	38680	0.324429	38680
0.33237	38789	0.33237	38694	0.33237	38694
0.340298	38984	0.340298	38707.3	0.340298	38707.3
0.348214	38739	0.348214	38720	0.348214	38720
0.356116	38669	0.356116	38732.1	0.356116	38732.1
0.364006	38561	0.364006	38743.6	0.364006	38743.6
0.371881	38817	0.371881	38754.5	0.371881	38754.5
0.379743	38971	0.379743	38765	0.379743	38765
0.38759	38952	0.38759	38775	0.38759	38775
0.395422	38933	0.395422	38784.6	0.395422	38784.6
0.40324	38734	0.40324	38793.8	0.40324	38793.8
0.411043	38941	0.411043	38802.6	0.411043	38802.6
0.41883	39091	0.41883	38811	0.41883	38811
0.426601	39228	0.426601	38819	0.426601	38819
0.434356	38486	0.434356	38826.8	0.434356	38826.8
0.442095	38955	0.442095	38834.2	0.442095	38834.2
0.449817	38701	0.449817	38841.3	0.449817	38841.3
0.457523	38793	0.457523	38848.1	0.457523	38848.1
0.465211	38991	0.465211	38854.7	0.465211	38854.7
0.472881	39231	0.472881	38861	0.472881	38861
0.480534	38767	0.480534	38867.1	0.480534	38867.1
0.488169	38822	0.488169	38873	0.488169	38873
0.495785	38626	0.495785	38878.6	0.495785	38878.6
0.503383	39044	0.503383	38884	0.503383	38884
0.510961	38656	0.510961	38889.3	0.510961	38889.3
0.518521	38695	0.518521	38894.3	0.518521	38894.3
0.526061	38975	0.526061	38899.2	0.526061	38899.2
0.533581	38687	0.533581	38903.9	0.533581	38903.9
0.541081	38956	0.541081	38908.5	0.541081	38908.5
0.54856	38978	0.54856	38912.8	0.54856	38912.8
0.556019	38796	0.556019	38917.1	0.556019	38917.1
0.563457	38427	0.563457	38921.2	0.563457	38921.2
0.570874	38667	0.570874	38925.1	0.570874	38925.1
0.578269	38872	0.578269	38929	0.578269	38929
0.585643	38883	0.585643	38932.7	0.585643	38932.7
0.592995	38907	0.592995	38936.3	0.592995	38936.3
0.600324	38905	0.600324	38939.8	0.600324	38939.8
0.60763	39202	0.60763	38943.1	0.60763	38943.1
0.614914	38615	0.614914	38946.4	0.614914	38946.4
0.622175	38880	0.622175	38949.6	0.622175	38949.6
0.629412	38852	0.629412	38952.6	0.629412	38952.6
0.636625	39023	0.636625	38955.6	0.636625	38955.6
0.643815	39191	0.643815	38958.5	0.643815	38958.5
0.65098	38936	0.65098	38961.3	0.65098	38961.3
0.658121	38664	0.658121	38964	0.658121	38964
0.665237	38866	0.665237	38966.7	0.665237	38966.7
0.672327	39192	0.672327	38969.2	0.672327	38969.2
0.679393	38986	0.679393	38971.7	0.679393	38971.7
0.686433	39319	0.686433	38974.1	0.686433	38974.1
0.693447	39165	0.693447	38976.5	0.693447	38976.5
0.700435	39001	0.700435	38978.8	0.700435	38978.8
0.707397	38986	0.707397	38981	0.707397	38981
0.714332	38710	0.714332	38983.2	0.714332	38983.2
0.72124	38983	0.72124	38985.3	0.72124	38985.3
0.728121	38821	0.728121	38987.3	0.728121	38987.3
0.734975	39168	0.734975	38989.3	0.734975	38989.3
0.741801	39136	0.741801	38991.3	0.741801	38991.3
0.748599	38760	0.748599	38993.2	0.748599	38993.2
0.755369	38737	0.755369	38995	0.755369	38995
0.76211	38885	0.76211	38996.8	0.76211	38996.8
0.768823	39132	0.768823	38998.5	0.768823	38998.5
0.775506	38985	0.775506	39000.2	0.775506	39000.2
0.782161	39142	0.782161	39001.9	0.782161	39001.9
0.788786	39190	0.788786	39003.5	0.788786	39003.5
0.795381	38731	0.795381	39005.1	0.795381	39005.1
0.801947	39103	0.801947	39006.7	0.801947	39006.7
0.808482	38990	0.808482	39008.2	0.808482	39008.2
0.814987	39058	0.814987	39009.6	0.814987	39009.6
0.821461	38880	0.821461	39011.1	0.821461	39011.1
0.827904	38872	0.827904	39012.5	0.827904	39012.5
0.834316	38682	0.834316	39013.8	0.834316	39013.8
0.840697	38751	0.840697	39015.1	0.840697	39015.1
0.847046	38905	0.847046	39016.4	0.847046	39016.4
0.853363	39010	0.853363	39017.7	0.853363	39017.7
0.859648	39180	0.859648	39019	0.859648	39019
0.8659	39076	0.8659	39020.2	0.8659	39020.2
0.87212	38902	0.87212	39021.4	0.87212	39021.4
0.878307	39109	0.878307	39022.5	0.878307	39022.5
0.884462	39092	0.884462	39023.6	0.884462	39023.6
0.890582	38578	0.890582	39024.7	0.890582	39024.7
0.89667	38919	0.89667	39025.8	0.89667	39025.8
0.902723	38702	0.902723	39026.9	0.902723	39026.9
0.908743	38963	0.908743	39027.9	0.908743	39027.9
0.914728	38694	0.914728	39028.9	0.914728	39028.9
0.920679	39262	0.920679	39029.9	0.920679	39029.9
0.926595	39224	0.926595	39030.9	0.926595	39030.9
0.932476	38915	0.932476	39031.8	0.932476	39031.8
0.938322	39215	0.938322	39032.7	0.938322	39032.7
0.944133	38952	0.944133	39033.7	0.944133	39033.7
0.949909	39235	0.949909	39034.5	0.949909	39034.5
0.955648	39388	0.955648	39035.4	0.955648	39035.4
0.961352	38715	0.961352	39036.3	0.961352	39036.3
0.967019	38894	0.967019	39037.1	0.967019	39037.1
0.97265	39194	0.97265	39037.9	0.97265	39037.9
0.978244	39274	0.978244	39038.7	0.978244	39038.7
0.983802	38949	0.983802	39039.5	0.983802	39039.5
0.989322	38973	0.989322	39040.2	0.989322	39040.2
0.994806	39442	0.994806	39041	0.994806	39041
1.00025	39106	1.00025	39041.7	1.00025	39041.7
1.00566	38819	1.00566	39042.4	1.00566	39042.4
1.01103	39236	1.01103	39043.1	1.01103	39043.1
1.01636	38789	1.01636	39043.8	1.01636	39043.8
1.02166	39342	1.02166	39044.5	1.02166	39044.5
1.02691	39115	1.02691	39045.1	1.02691	39045.1
1.03213	39056	1.03213	39045.8	1.03213	39045.8
1.03731	39027	1.03731	39046.4	1.03731	39046.4
1.04245	39159	1.04245	39047.1	1.04245	39047.1
1.04754	38957	1.04754	39047.7	1.04754	39047.7
1.05261	39052	1.05261	39048.3	1.05261	39048.3
1.05763	38966	1.05763	39048.8	1.05763	39048.8
1.06261	39120	1.06261	39049.4	1.06261	39049.4
1.06755	39113	1.06755	39050	1.06755	39050
1.07245	38618	1.07245	39050.5	1.07245	39050.5
1.07731	39043	1.07731	39051.1	1.07731	39051.1
1.08213	39431	1.08213	39051.6	1.08213	39051.6
1.08691	39076	1.08691	39052.1	1.08691	39052.1
1.09164	38968	1.09164	39052.6	1.09164	39052.6
1.09634	39042	1.09634	39053.1	1.09634	39053.1
1.101	38654	1.101	39053.6	1.101	39053.6
1.10561	38980	1.10561	39054.1	1.10561	39054.1
1.11018	39141	1.11018	39054.6	1.11018	39054.6
1.11471	38877	1.11471	39055	1.11471	39055
1.1192	38891	1.1192	39055.5	1.1192	39055.5
1.12365	39002	1.12365	39055.9	1.12365	39055.9
1.12805	38961	1.12805	39056.3	1.12805	39056.3
1.13241	39344	1.13241	39056.8	1.13241	39056.8
1.13674	39140	1.13674	39057.2	1.13674	39057.2
1.14101	39151	1.14101	39057.6	1.14101	39057.6
1.14524	39302	1.14524	39058	1.14524	39058
1.14943	39225	1.14943	39058.4	1.14943	39058.4
1.15358	38756	1.15358	39058.8	1.15358	39058.8
1.15769	39005	1.15769	39059.1	1.15769	39059.1
1.16175	38881	1.16175	39059.5	1.16175	39059.5
1.16576	39140	1.16576	39059.9	1.16576	39059.9
1.16973	38550	1.16973	39060.2	1.16973	39060.2
1.17366	38836	1.17366	39060.6	1.17366	39060.6
1.17755	39444	1.17755	39060.9	1.17755	39060.9
1.18139	38934	1.18139	39061.3	1.18139	39061.3
1.18518	38998	1.18518	39061.6	1.18518	39061.6
1.18893	39270	1.18893	39061.9	1.18893	39061.9
1.19264	38810	1.19264	39062.2	1.19264	39062.2
1.1963	39093	1.1963	39062.5	1.1963	39062.5
1.19992	38983	1.19992	39062.8	1.19992	39062.8
1.20349	39116	1.20349	39063.1	1.20349	39063.1
1.20701	39330	1.20701	39063.4	1.20701	39063.4
1.21049	38901	1.21049	39063.7	1.21049	39063.7
1.21393	38874	1.21393	39064	1.21393	39064
1.21731	38958	1.21731	39064.3	1.21731	39064.3
1.22066	38852	1.22066	39064.5	1.22066	39064.5
1.22395	39013	1.22395	39064.8	1.22395	39064.8
1.22721	39314	1.22721	39065.1	1.22721	39065.1
1.23041	38825	1.23041	39065.3	1.23041	39065.3
1.23357	39032	1.23357	39065.5	1.23357	39065.5
1.23668	38923	1.23668	39065.8	1.23668	39065.8
1.23975	39383	1.23975	39066	1.23975	39066
1.24277	38899	1.24277	39066.3	1.24277	39066.3
1.24574	39133	1.24574	39066.5	1.24574	39066.5
1.24866	39410	1.24866	39066.7	1.24866	39066.7
1.25154	39211	1.25154	39066.9	1.25154	39066.9
1.25437	39054	1.25437	39067.1	1.25437	39067.1
1.25716	38876	1.25716	39067.3	1.25716	39067.3
1.25989	38913	1.25989	39067.5	1.25989	39067.5
1.26258	38983	1.26258	39067.7	1.26258	39067.7
1.26522	38948	1.26522	39067.9	1.26522	39067.9
1.26782	39347	1.26782	39068.1	1.26782	39068.1
1.27036	39255	1.27036	39068.3	1.27036	39068.3
1.27286	39178	1.27286	39068.5	1.27286	39068.5
1.27531	38839	1.27531	39068.7	1.27531	39068.7
1.27771	39228	1.27771	39068.8	1.27771	39068.8
1.28007	39175	1.28007	39069	1.28007	39069
1.28237	39406	1.28237	39069.2	1.28237	39069.2
1.28463	38604	1.28463	39069.3	1.28463	39069.3
1.28684	38872	1.28684	39069.5	1.28684	39069.5
1.289	39193	1.289	39069.6	1.289	39069.6
1.29111	39095	1.29111	39069.8	1.29111	39069.8
1.29318	38959	1.29318	39069.9	1.29318	39069.9
1.29519	39172	1.29519	39070	1.29519	39070
1.29716	38802	1.29716	39070.2	1.29716	39070.2
1.29907	39454	1.29907	39070.3	1.29907	39070.3
1.30094	39231	1.30094	39070.4	1.30094	39070.4
1.30276	39062	1.30276	39070.6	1.30276	39070.6
1.30453	38982	1.30453	39070.7	1.30453	39070.7
1.30625	39359	1.30625	39070.8	1.30625	39070.8
1.30793	38952	1.30793	39070.9	1.30793	39070.9
1.30955	39090	1.30955	39071	1.30955	39071
1.31112	39022	1.31112	39071.1	1.31112	39071.1
1.31265	39123	1.31265	39071.2	1.31265	39071.2
1.31412	39086	1.31412	39071.3	1.31412	39071.3
1.31555	38991	1.31555	39071.4	1.31555	39071.4
1.31692	39610	1.31692	39071.5	1.31692	39071.5
1.31825	38921	1.31825	39071.6	1.31825	39071.6
1.31953	39092	1.31953	39071.7	1.31953	39071.7
1.32075	38823	1.32075	39071.7	1.32075	39071.7
1.32193	39253	1.32193	39071.8	1.32193	39071.8
1.32306	39545	1.32306	39071.9	1.32306	39071.9
1.32414	39228	1.32414	39072	1.32414	39072
1.32516	39015	1.32516	39072	1.32516	39072
1.32614	39180	1.32614	39072.1	1.32614	39072.1
1.32707	39201	1.32707	39072.1	1.32707	39072.1
1.32795	39041	1.32795	39072.2	1.32795	39072.2
1.32878	39339	1.32878	39072.3	1.32878	39072.3
1.32956	39124	1.32956	39072.3	1.32956	39072.3
1.33028	38960	1.33028	39072.4	1.33028	39072.4
1.33096	38674	1.33096	39072.4	1.33096	39072.4
1.33159	39148	1.33159	39072.4	1.33159	39072.4
1.33217	39312	1.33217	39072.5	1.33217	39072.5
1.33269	38983	1.33269	39072.5	1.33269	39072.5
1.33317	38658	1.33317	39072.5	1.33317	39072.5
1.3336	39061	1.3336	39072.6	1.3336	39072.6
1.33397	39480	1.33397	39072.6	1.33397	39072.6
1.3343	39117	1.3343	39072.6	1.3343	39072.6
1.33458	39188	1.33458	39072.6	1.33458	39072.6
1.3348	39486	1.3348	39072.6	1.3348	39072.6
1.33498	39219	1.33498	39072.7	1.33498	39072.7
1.3351	39146	1.3351	39072.7	1.3351	39072.7
1.33518	39487	1.33518	39072.7	1.33518	39072.7
1.33521	39280	1.33521	39072.7	1.33521	39072.7
