TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-0.482621	3819	-0.482621	3789.02	-0.482621	3789.02
-0.462648	3732	-0.462648	3729.74	-0.462648	3729.74
-0.442658	3682	-0.442658	3661.15	-0.442658	3661.15
-0.422652	3672	-0.422652	3582.37	-0.422652	3582.37
-0.402629	3498	-0.402629	3493.1	-0.402629	3493.1
-0.382591	3403	-0.382591	3394.06	-0.382591	3394.06
-0.362539	3299	-0.362539	3287.6	-0.362539	3287.6
-0.342473	3183	-0.342473	3177.99	-0.342473	3177.99
-0.322395	3023	-0.322395	3071.17	-0.322395	3071.17
-0.302304	2930	-0.302304	2973.75	-0.302304	2973.75
-0.282202	2894	-0.282202	2891.4	-0.282202	2891.4
-0.262089	2866	-0.262089	2827.67	-0.262089	2827.67
-0.241966	2733	-0.241966	2783.44	-0.241966	2783.44
-0.221834	2843	-0.221834	2757.32	-0.221834	2757.32
-0.201694	2803	-0.201694	2746.53	-0.201694	2746.53
-0.181546	2643	-0.181546	2748.12	-0.181546	2748.12
-0.161392	2815	-0.161392	2760.23	-0.161392	2760.23
-0.141231	2780	-0.141231	2782.4	-0.141231	2782.4
-0.121065	2759	-0.121065	2814.96	-0.121065	2814.96
-0.100895	2819	-0.100895	2858.3	-0.100895	2858.3
-0.08072	2919	-0.08072	2912.72	-0.08072	2912.72
-0.060543	3021	-0.060543	2978.71	-0.060543	2978.71
-0.040363	3168	-0.040363	3056.59	-0.040363	3056.59
-0.020182	3148	-0.020182	3145.44	-0.020182	3145.44
0	3123	0	3242.26	0	3242.26
0.020182	3344	0.020182	3342.31	0.020182	3342.31
0.040363	3417	0.040363	3440.48	0.040363	3440.48
0.060543	3555	0.060543	3532.67	0.060543	3532.67
0.08072	3722	0.08072	3616.39	0.08072	3616.39
0.100895	3724	0.100895	3690.65	0.100895	3690.65
0.121065	3715	0.121065	3755.52	0.121065	3755.52
0.141231	3780	0.141231	3811.72	0.141231	3811.72
0.161392	3836	0.161392	3860.22	0.161392	3860.22
0.181546	3884	0.181546	3902.04	0.181546	3902.04
0.201694	3964	0.201694	3938.14	0.201694	3938.14
0.221834	3906	0.221834	3969.41	0.221834	3969.41
0.241966	4062	0.241966	3996.58	0.241966	3996.58
0.262089	3913	0.262089	4020.28	0.262089	4020.28
0.282202	4048	0.282202	4041.05	0.282202	4041.05
0.302304	4032	0.302304	4059.32	0.302304	4059.32
0.322395	4092	0.322395	4075.47	0.322395	4075.47
0.342473	4115	0.342473	4089.8	0.342473	4089.8
0.362539	4131	0.362539	4102.57	0.362539	4102.57
0.382591	4026	0.382591	4113.98	0.382591	4113.98
0.402629	4207	0.402629	4124.23	0.402629	4124.23
0.422652	4009	0.422652	4133.47	0.422652	4133.47
0.442658	4181	0.442658	4141.81	0.442658	4141.81
0.462648	4148	0.462648	4149.37	0.462648	4149.37
0.482621	4084	0.482621	4156.25	0.482621	4156.25
0.502575	4193	0.502575	4162.52	0.502575	4162.52
0.522511	4136	0.522511	4168.25	0.522511	4168.25
0.542427	4126	0.542427	4173.51	0.542427	4173.51
0.562322	4212	0.562322	4178.34	0.562322	4178.34
0.582196	4190	0.582196	4182.78	0.582196	4182.78
0.602049	4233	0.602049	4186.88	0.602049	4186.88
0.621878	4169	0.621878	4190.68	0.621878	4190.68
0.641684	4244	0.641684	4194.19	0.641684	4194.19
0.661467	4178	0.661467	4197.46	0.661467	4197.46
