TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line	Subspectrum3-x_line	Subspectrum3-y_line
-5.05874	147615	-5.05874	147812	-5.05874	148060	-5.05874	148170
-4.98499	148646	-4.98499	147766	-4.98499	148056	-4.98499	148127
-4.91105	147796	-4.91105	147699	-4.91105	148048	-4.91105	148069
-4.83693	147894	-4.83693	147602	-4.83693	148034	-4.83693	147985
-4.76262	147162	-4.76262	147459	-4.76262	148015	-4.76262	147862
-4.68814	146578	-4.68814	147242	-4.68814	147988	-4.68814	147672
-4.61348	146788	-4.61348	146897	-4.61348	147952	-4.61348	147362
-4.53864	145927	-4.53864	146325	-4.53864	147906	-4.53864	146837
-4.46364	144040	-4.46364	145379	-4.46364	147844	-4.46364	145952
-4.38846	142157	-4.38846	144116	-4.38846	147763	-4.38846	144770
-4.31312	139716	-4.31312	143413	-4.31312	147654	-4.31312	144176
-4.23762	141191	-4.23762	143854	-4.23762	147506	-4.23762	144765
-4.16196	142804	-4.16196	144756	-4.16196	147298	-4.16196	145875
-4.08614	145000	-4.08614	145361	-4.08614	146998	-4.08614	146780
-4.01017	144616	-4.01017	145467	-4.01017	146550	-4.01017	147335
-3.93405	145442	-3.93405	145096	-3.93405	145853	-3.93405	147660
-3.85778	143663	-3.85778	144171	-3.85778	144730	-3.85778	147859
-3.78136	142123	-3.78136	142485	-3.78136	142916	-3.78136	147987
-3.70481	138777	-3.70481	139990	-3.70481	140336	-3.70481	148072
-3.62811	136727	-3.62811	137966	-3.62811	138251	-3.62811	148132
-3.55127	138412	-3.55127	138770	-3.55127	139013	-3.55127	148175
-3.47431	141114	-3.47431	141436	-3.47431	141646	-3.47431	148207
-3.39721	144206	-3.39721	143725	-3.39721	143912	-3.39721	148231
-3.31998	145710	-3.31998	145201	-3.31998	145370	-3.31998	148249
-3.24263	146598	-3.24263	146111	-3.24263	146265	-3.24263	148263
-3.16516	146787	-3.16516	146685	-3.16516	146829	-3.16516	148274
-3.08756	147728	-3.08756	147063	-3.08756	147198	-3.08756	148282
-3.00985	147831	-3.00985	147321	-3.00985	147450	-3.00985	148288
-2.93203	147524	-2.93203	147503	-2.93203	147629	-2.93203	148292
