Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\eisenfolie.txt
Date / time: 14.11.2024, 14:49:44
Sample: Eisenfolie
Comments: 90.4 mV
Channel #	Counts	Counts (folded)
    458	  33326	  66835
    459	  33597	  67385
    460	  33495	  67292
    461	  33495	  67126
    462	  33685	  67172
    463	  33273	  66725
    464	  33558	  67124
    465	  33781	  67231
    466	  33476	  67221
    467	  33723	  67431
    468	  33558	  66941
    469	  33496	  67046
    470	  33768	  67274
    471	  33534	  67231
    472	  32887	  66451
    473	  33489	  67100
    474	  33579	  66956
    475	  33525	  67471
    476	  33391	  66817
    477	  33492	  66958
    478	  33250	  67012
    479	  33514	  66908
    480	  33809	  67184
    481	  33432	  66977
    482	  33691	  67064
    483	  33850	  67790
    484	  33546	  66943
    485	  33842	  67581
    486	  33841	  67597
    487	  33501	  67308
    488	  33796	  67230
    489	  33608	  67262
    490	  33582	  67222
    491	  33434	  66945
    492	  33664	  67413
    493	  33532	  67113
    494	  33490	  67256
    495	  34081	  67677
    496	  33469	  67289
    497	  33384	  66949
    498	  33424	  67317
    499	  33817	  67450
    500	  33606	  67024
    501	  33583	  67241
    502	  33366	  67116
    503	  33496	  67351
    504	  33340	  67068
    505	  33383	  66412
    506	  33555	  67182
    507	  33557	  66963
    508	  33695	  67485
    509	  33814	  67313
    510	  33948	  67419
    511	  33439	  66899
    512	  33460	      0
    513	  33471	      0
    514	  33499	      0
    515	  33790	      0
    516	  33406	      0
    517	  33627	      0
    518	  33029	      0
    519	  33728	      0
    520	  33855	      0
    521	  33750	      0
    522	  33658	      0
    523	  33418	      0
    524	  33633	      0
    525	  33893	      0
    526	  33565	      0
    527	  33820	      0
    528	  33596	      0
    529	  33766	      0
    530	  33581	      0
    531	  33749	      0
    532	  33511	      0
    533	  33640	      0
    534	  33654	      0
    535	  33434	      0
    536	  33807	      0
    537	  33756	      0
    538	  33739	      0
    539	  33397	      0
    540	  33940	      0
    541	  33373	      0
    542	  33545	      0
    543	  33375	      0
    544	  33394	      0
    545	  33762	      0
    546	  33466	      0
    547	  33426	      0
    548	  33946	      0
    549	  33377	      0
    550	  33611	      0
    551	  33564	      0
    552	  33697	      0
    553	  33506	      0
    554	  33550	      0
    555	  33383	      0
    556	  33708	      0
    557	  33745	      0
    558	  33450	      0
    559	  33566	      0
    560	  33452	      0
    561	  33487	      0
    562	  33631	      0
    563	  33797	      0
    564	  33788	      0
    565	  33509	      0
    566	  33889	      0
    567	  33318	      0
    568	  33353	      0
    569	  33476	      0
    570	  33796	      0
    571	  33313	      0
    572	  33525	      0
    573	  33676	      0
    574	  33408	      0
    575	  33444	      0
    576	  33319	      0
    577	  33468	      0
    578	  33395	      0
    579	  33224	      0
    580	  33362	      0
    581	  33514	      0
    582	  33241	      0
    583	  33556	      0
    584	  33945	      0
    585	  33314	      0
    586	  33325	      0
    587	  33609	      0
    588	  33288	      0
    589	  33760	      0
    590	  33470	      0
    591	  33820	      0
    592	  33812	      0
    593	  33441	      0
    594	  33210	      0
    595	  33697	      0
    596	  33472	      0
    597	  33418	      0
    598	  33739	      0
    599	  33486	      0
    600	  33963	      0
    601	  33458	      0
    602	  33626	      0
    603	  33168	      0
    604	  33563	      0
    605	  33476	      0
    606	  33697	      0
    607	  33606	      0
    608	  33421	      0
    609	  33792	      0
    610	  33482	      0
    611	  33807	      0
    612	  33530	      0
    613	  33118	      0
    614	  33573	      0
    615	  33689	      0
    616	  33368	      0
    617	  33785	      0
    618	  33460	      0
    619	  33535	      0
    620	  33439	      0
    621	  33183	      0
    622	  33731	      0
    623	  33368	      0
    624	  33244	      0
    625	  33698	      0
    626	  33349	      0
    627	  33193	      0
    628	  33674	      0
    629	  33823	      0
    630	  33590	      0
    631	  33809	      0
    632	  33759	      0
    633	  33476	      0
    634	  33783	      0
    635	  33619	      0
    636	  33698	      0
    637	  33235	      0
    638	  33253	      0
    639	  33596	      0
    640	  33185	      0
    641	  33721	      0
    642	  33400	      0
    643	  33623	      0
    644	  33606	      0
    645	  33323	      0
    646	  33490	      0
    647	  33466	      0
    648	  33673	      0
    649	  33536	      0
    650	  33478	      0
    651	  33489	      0
    652	  33330	      0
    653	  33449	      0
    654	  33606	      0
    655	  33439	      0
    656	  33524	      0
    657	  33688	      0
    658	  33443	      0
    659	  33108	      0
    660	  33364	      0
    661	  33389	      0
    662	  33502	      0
    663	  33509	      0
    664	  33450	      0
    665	  33129	      0
    666	  33304	      0
    667	  33708	      0
    668	  33315	      0
    669	  33078	      0
    670	  33356	      0
    671	  33551	      0
    672	  33497	      0
    673	  33627	      0
    674	  33162	      0
    675	  33577	      0
    676	  33418	      0
    677	  33562	      0
    678	  33678	      0
    679	  33556	      0
    680	  33609	      0
    681	  33364	      0
    682	  33467	      0
    683	  33529	      0
    684	  33775	      0
    685	  33767	      0
    686	  33967	      0
    687	  33390	      0
    688	  33300	      0
    689	  33574	      0
    690	  33569	      0
    691	  33147	      0
    692	  33359	      0
    693	  33310	      0
    694	  33514	      0
    695	  33479	      0
    696	  33291	      0
    697	  33531	      0
    698	  33435	      0
    699	  33071	      0
    700	  33373	      0
    701	  32662	      0
    702	  32648	      0
    703	  32515	      0
    704	  31955	      0
    705	  30592	      0
    706	  28673	      0
    707	  27049	      0
    708	  27251	      0
    709	  29054	      0
    710	  30573	      0
    711	  31572	      0
    712	  32187	      0
    713	  32404	      0
    714	  32776	      0
    715	  32771	      0
    716	  33033	      0
    717	  33139	      0
    718	  33570	      0
    719	  33292	      0
    720	  33330	      0
    721	  32992	      0
    722	  33166	      0
    723	  33273	      0
    724	  33300	      0
    725	  33243	      0
    726	  33124	      0
    727	  33393	      0
    728	  33084	      0
    729	  32765	      0
    730	  32479	      0
    731	  31486	      0
    732	  29091	      0
    733	  28253	      0
    734	  28815	      0
    735	  30366	      0
    736	  31274	      0
    737	  32889	      0
    738	  32574	      0
    739	  32710	      0
    740	  32786	      0
    741	  33363	      0
    742	  33103	      0
    743	  33576	      0
    744	  33168	      0
    745	  33384	      0
    746	  33114	      0
    747	  33508	      0
    748	  33395	      0
    749	  33190	      0
    750	  33435	      0
    751	  33256	      0
    752	  33092	      0
    753	  32964	      0
    754	  33379	      0
    755	  32768	      0
    756	  32223	      0
    757	  31251	      0
    758	  29832	      0
    759	  30621	      0
    760	  31719	      0
    761	  32699	      0
    762	  33007	      0
    763	  33274	      0
    764	  33295	      0
    765	  33183	      0
    766	  33075	      0
    767	  33215	      0
    768	  32981	      0
    769	  33094	      0
    770	  33401	      0
    771	  33330	      0
    772	  33307	      0
    773	  32887	      0
    774	  32443	      0
    775	  31738	      0
    776	  30269	      0
    777	  30453	      0
    778	  30911	      0
    779	  32390	      0
    780	  32707	      0
    781	  32933	      0
    782	  32969	      0
    783	  33343	      0
    784	  33170	      0
    785	  33552	      0
    786	  33471	      0
    787	  33753	      0
    788	  33362	      0
    789	  33066	      0
    790	  33538	      0
    791	  33361	      0
    792	  33255	      0
    793	  33054	      0
    794	  33293	      0
    795	  33284	      0
    796	  32905	      0
    797	  32824	      0
    798	  32111	      0
    799	  31599	      0
    800	  30427	      0
    801	  28709	      0
    802	  28615	      0
    803	  29632	      0
    804	  31130	      0
    805	  32423	      0
    806	  32723	      0
    807	  33009	      0
    808	  33067	      0
    809	  33407	      0
    810	  33263	      0
    811	  33423	      0
    812	  33462	      0
    813	  33157	      0
    814	  33258	      0
    815	  33246	      0
    816	  33214	      0
    817	  33289	      0
    818	  32917	      0
    819	  33024	      0
    820	  33094	      0
    821	  32305	      0
    822	  32434	      0
    823	  32504	      0
    824	  31493	      0
    825	  30019	      0
    826	  28244	      0
    827	  26736	      0
    828	  27448	      0
    829	  28868	      0
    830	  30749	      0
    831	  32065	      0
    832	  32261	      0
    833	  32572	      0
    834	  33366	      0
    835	  32832	      0
    836	  33553	      0
    837	  32952	      0
    838	  33159	      0
    839	  33276	      0
    840	  33270	      0
    841	  33389	      0
    842	  33054	      0
    843	  33629	      0
    844	  33756	      0
    845	  33386	      0
    846	  33473	      0
    847	  33530	      0
    848	  33229	      0
    849	  33858	      0
    850	  33698	      0
    851	  33254	      0
    852	  33196	      0
    853	  33221	      0
    854	  33375	      0
    855	  33530	      0
    856	  33126	      0
    857	  33514	      0
    858	  33231	      0
    859	  33489	      0
    860	  33496	      0
    861	  33453	      0
    862	  33380	      0
    863	  33325	      0
    864	  33471	      0
    865	  33707	      0
    866	  33586	      0
    867	  33660	      0
    868	  33604	      0
    869	  33609	      0
    870	  33513	      0
    871	  33564	      0
    872	  33503	      0
    873	  33240	      0
    874	  33825	      0
    875	  33191	      0
    876	  33593	      0
    877	  33630	      0
    878	  33431	      0
    879	  33523	      0
    880	  33627	      0
    881	  33396	      0
    882	  33567	      0
    883	  33477	      0
    884	  33551	      0
    885	  33444	      0
    886	  33341	      0
    887	  33788	      0
    888	  33664	      0
    889	  33499	      0
    890	  33185	      0
    891	  33711	      0
    892	  33295	      0
    893	  33022	      0
    894	  33392	      0
    895	  33425	      0
    896	  33627	      0
    897	  33773	      0
    898	  33596	      0
    899	  33612	      0
    900	  33799	      0
    901	  33611	      0
    902	  33496	      0
    903	  33661	      0
    904	  33477	      0
    905	  33380	      0
    906	  33382	      0
    907	  33692	      0
    908	  33253	      0
    909	  33466	      0
    910	  33390	      0
    911	  33503	      0
    912	  33730	      0
    913	  33448	      0
    914	  33671	      0
    915	  33736	      0
    916	  33648	      0
    917	  33561	      0
    918	  33845	      0
    919	  33428	      0
    920	  33820	      0
    921	  33776	      0
    922	  33839	      0
    923	  33798	      0
    924	  33203	      0
    925	  33403	      0
    926	  33437	      0
    927	  33234	      0
    928	  33634	      0
    929	  33295	      0
    930	  33341	      0
    931	  33159	      0
    932	  33482	      0
    933	  33777	      0
    934	  33459	      0
    935	  33440	      0
    936	  33684	      0
    937	  33629	      0
    938	  33750	      0
    939	  33570	      0
    940	  33487	      0
    941	  33430	      0
    942	  33672	      0
    943	  33603	      0
    944	  32903	      0
    945	  33328	      0
    946	  33569	      0
    947	  33668	      0
    948	  33595	      0
    949	  33780	      0
    950	  33703	      0
    951	  33456	      0
    952	  33330	      0
    953	  33360	      0
    954	  33449	      0
    955	  33539	      0
    956	  33378	      0
    957	  33684	      0
    958	  33728	      0
    959	  33393	      0
    960	  33517	      0
    961	  33681	      0
    962	  33130	      0
    963	  33771	      0
    964	  33795	      0
    965	  33171	      0
    966	  33713	      0
    967	  33500	      0
    968	  33345	      0
    969	  33382	      0
    970	  33424	      0
    971	  33342	      0
    972	  33933	      0
    973	  33654	      0
    974	  33596	      0
    975	  33416	      0
    976	  33485	      0
    977	  33640	      0
    978	  33392	      0
    979	  33530	      0
    980	  33316	      0
    981	  33399	      0
    982	  33503	      0
    983	  33505	      0
    984	  33785	      0
    985	  33514	      0
    986	  33243	      0
    987	  33423	      0
    988	  33401	      0
    989	  33325	      0
    990	  33351	      0
    991	  33594	      0
    992	  33662	      0
    993	  33331	      0
    994	  33345	      0
    995	  33414	      0
    996	  33812	      0
    997	  33287	      0
    998	  33856	      0
    999	  33725	      0
   1000	  33642	      0
   1001	  33415	      0
   1002	  33360	      0
   1003	  33550	      0
   1004	  33695	      0
   1005	  33512	      0
   1006	  33595	      0
   1007	  33684	      0
   1008	  33515	      0
   1009	  33843	      0
   1010	  33282	      0
   1011	  33631	      0
   1012	  33812	      0
   1013	  33925	      0
   1014	  33721	      0
   1015	  33436	      0
   1016	  33640	      0
   1017	  33534	      0
   1018	  33909	      0
   1019	  33559	      0
   1020	  33539	      0
   1021	  33620	      0
   1022	  33477	      0
   1023	  33911	      0
