Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\stahl.txt
Date / time: 13.11.2024, 10:58:30
Sample: Edelstahlfolie
Comments: Stainlesssteel 20.2 mV
Channel #	Counts	Counts (folded)
    685	   2129	      0
    686	   2201	      0
    687	   2217	      0
    688	   2050	      0
    689	   2085	      0
    690	   2151	      0
    691	   2133	      0
    692	   2111	      0
    693	   2090	      0
    694	   2205	      0
    695	   2109	      0
    696	   2144	      0
    697	   2189	      0
    698	   2185	      0
    699	   2059	      0
    700	   2197	      0
    701	   2085	      0
    702	   2121	      0
    703	   2140	      0
    704	   2129	      0
    705	   2229	      0
    706	   2136	      0
    707	   2115	      0
    708	   2169	      0
    709	   2150	      0
    710	   2172	      0
    711	   2066	      0
    712	   2069	      0
    713	   2061	      0
    714	   2154	      0
    715	   2119	      0
    716	   2078	      0
    717	   2175	      0
    718	   2029	      0
    719	   2019	      0
    720	   2073	      0
    721	   2079	      0
    722	   2035	      0
    723	   2057	      0
    724	   2021	      0
    725	   2110	      0
    726	   2120	      0
    727	   2166	      0
    728	   2077	      0
    729	   2022	      0
    730	   2017	      0
    731	   2062	      0
    732	   2068	      0
    733	   2087	      0
    734	   1982	      0
    735	   2026	      0
    736	   1997	      0
    737	   2044	      0
    738	   1949	      0
    739	   1943	      0
    740	   1987	      0
    741	   1948	      0
    742	   1891	      0
    743	   1857	      0
    744	   1838	      0
    745	   1794	      0
    746	   1777	      0
    747	   1750	      0
    748	   1740	      0
    749	   1636	      0
    750	   1545	      0
    751	   1507	      0
    752	   1498	      0
    753	   1398	      0
    754	   1409	      0
    755	   1403	      0
    756	   1406	      0
    757	   1434	      0
    758	   1326	      0
    759	   1382	      0
    760	   1381	      0
    761	   1378	      0
    762	   1409	      0
    763	   1458	      0
    764	   1545	      0
    765	   1632	      0
    766	   1642	      0
    767	   1577	      0
    768	   1688	      0
    769	   1742	      0
    770	   1779	      0
    771	   1843	      0
    772	   1892	      0
    773	   1860	      0
    774	   1902	      0
    775	   1921	      0
    776	   1948	      0
    777	   1952	      0
    778	   1961	      0
    779	   2025	      0
    780	   1930	      0
    781	   1971	      0
    782	   2024	      0
    783	   2009	      0
    784	   2089	      0
    785	   2089	      0
    786	   2031	      0
    787	   2116	      0
    788	   2013	      0
    789	   2104	      0
    790	   2068	      0
    791	   2009	      0
    792	   2118	      0
    793	   2077	      0
    794	   2083	      0
    795	   2090	      0
    796	   2084	      0
    797	   2080	      0
    798	   2032	      0
    799	   2184	      0
    800	   2057	      0
    801	   2163	      0
    802	   2124	      0
    803	   2062	      0
    804	   2177	      0
    805	   2154	      0
    806	   2189	      0
    807	   2095	      0
    808	   2224	      0
    809	   2081	      0
    810	   2117	      0
    811	   2069	      0
    812	   2186	      0
    813	   2203	      0
    814	   2067	      0
    815	   2085	      0
    816	   2095	      0
    817	   2110	      0
    818	   2111	      0
    819	   2146	      0
    820	   2152	      0
    821	   2196	      0
    822	   2166	      0
    823	   2208	      0
    824	   2077	      0
    825	   2167	      0
    826	   2095	      0
    827	   2149	      0
    828	   2142	      0
    829	   2096	      0
    830	   2161	      0
    831	   2121	      0
    832	   2117	      0
    833	   2077	      0
    834	   2220	      0
    835	   2153	      0
    836	   2167	      0
    837	   2124	      0
    838	   2070	      0
    839	   2043	      0
    840	   2118	      0
    841	   2093	      0
    842	   2104	      0
    843	   2109	      0
    844	   2112	      0
    845	   2126	      0
    846	   2092	      0
    847	   2076	      0
    848	   2143	      0
    849	   2142	      0
    850	   2181	      0
    851	   2036	      0
    852	   2140	      0
    853	   2159	      0
    854	   2092	      0
    855	   2102	      0
    856	   2173	      0
    857	   2126	      0
    858	   2134	      0
    859	   2146	      0
    860	   2071	      0
    861	   2126	      0
    862	   2151	      0
    863	   2156	      0
    864	   2068	      0
    865	   2129	      0
    866	   2147	      0
    867	   2149	      0
    868	   2112	      0
    869	   2154	      0
    870	   2111	      0
    871	   2075	      0
    872	   2070	      0
    873	   2145	      0
    874	   2061	      0
    875	   2180	      0
    876	   2138	      0
    877	   2087	      0
    878	   2094	      0
    879	   2082	      0
    880	   2189	      0
    881	   2104	      0
    882	   2119	      0
    883	   2110	      0
    884	   2089	      0
    885	   2129	      0
    886	   2108	      0
    887	   2171	      0
    888	   2147	      0
    889	   2094	      0
    890	   2097	      0
    891	   2131	      0
    892	   2207	      0
    893	   2150	      0
    894	   2085	      0
    895	   1996	      0
    896	   2118	      0
    897	   2182	      0
    898	   2182	      0
    899	   2124	      0
    900	   2151	      0
    901	   2094	      0
    902	   2113	      0
    903	   2106	      0
    904	   2103	      0
    905	   2119	      0
    906	   2138	      0
    907	   2156	      0
    908	   2058	      0
    909	   2145	      0
    910	   2143	      0
    911	   2103	      0
    912	   2215	      0
    913	   2136	      0
    914	   2102	      0
    915	   2191	      0
    916	   2086	      0
    917	   2198	      0
    918	   2123	      0
    919	   2153	      0
    920	   2150	      0
    921	   2113	      0
    922	   2163	      0
    923	   2110	      0
    924	   2098	      0
    925	   2114	      0
    926	   2161	      0
    927	   2101	      0
    928	   2133	      0
    929	   2067	      0
    930	   2067	      0
    931	   2167	      0
    932	   2150	      0
    933	   2140	      0
    934	   2074	      0
    935	   2060	      0
    936	   2043	      0
    937	   2193	      0
    938	   2183	      0
    939	   2125	      0
    940	   2145	      0
    941	   2113	      0
    942	   2160	      0
    943	   2081	      0
    944	   2165	      0
    945	   2196	      0
    946	   2146	      0
    947	   2104	      0
    948	   2116	      0
    949	   2161	      0
    950	   2088	      0
    951	   2114	      0
    952	   2176	      0
    953	   2225	      0
    954	   2129	      0
    955	   2111	      0
    956	   2169	      0
    957	   2196	      0
    958	   2076	      0
    959	   2134	      0
    960	   2115	      0
    961	   2248	      0
    962	   2137	      0
    963	   2130	      0
    964	   2158	      0
    965	   2127	      0
    966	   2114	      0
    967	   2159	      0
    968	   2129	      0
    969	   2072	      0
    970	   2236	      0
    971	   2168	      0
    972	   2126	      0
    973	   2134	      0
    974	   2076	      0
    975	   2144	      0
    976	   2149	      0
    977	   2169	      0
    978	   2096	      0
    979	   2149	      0
    980	   2045	      0
    981	   2101	      0
    982	   2069	      0
    983	   2247	      0
    984	   2233	      0
    985	   2053	      0
    986	   2079	      0
    987	   2032	      0
    988	   2198	      0
    989	   2131	      0
    990	   2152	      0
    991	   2174	      0
    992	   2075	      0
    993	   2182	      0
    994	   2128	      0
    995	   2147	      0
    996	   2102	      0
    997	   2123	      0
    998	   2138	      0
    999	   2134	      0
   1000	   2144	      0
   1001	   2103	      0
   1002	   2067	      0
   1003	   2155	      0
   1004	   2075	      0
   1005	   2188	      0
   1006	   2234	      0
   1007	   2143	      0
   1008	   2145	      0
   1009	   2079	      0
   1010	   2145	      0
   1011	   2213	      0
   1012	   2143	      0
   1013	   2164	      0
   1014	   2059	      0
   1015	   2204	      0
   1016	   2081	      0
   1017	   2184	      0
   1018	   2123	      0
   1019	   2118	      0
   1020	   2039	      0
   1021	   2131	      0
   1022	   2105	      0
   1023	   2176	      0
