Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\gelbes_bls.txt
Date / time: 20.11.2024, 10:01:45
Sample: Gelbes Bls
Comments: 20,0 mV
Channel #	Counts	Counts (folded)
    376	  14998	  30282
    377	  14832	  30290
    378	  15059	  30007
    379	  15133	  30359
    380	  15087	  30154
    381	  15110	  30236
    382	  15123	  30148
    383	  15175	  29786
    384	  14947	  30127
    385	  14870	  30012
    386	  15063	  30242
    387	  15070	  30426
    388	  15172	  30183
    389	  15201	  30520
    390	  15110	  30335
    391	  15231	  30156
    392	  15064	  30341
    393	  15113	  29917
    394	  15108	  30339
    395	  14881	  30115
    396	  15256	  30238
    397	  15127	  30190
    398	  15163	  30532
    399	  15023	  29946
    400	  15319	  30127
    401	  14952	  30370
    402	  15076	  30030
    403	  15210	  30204
    404	  14926	  30197
    405	  15131	  30127
    406	  15198	  30021
    407	  15097	  30241
    408	  14946	  30501
    409	  14985	  30117
    410	  15197	  30191
    411	  15175	  30060
    412	  15095	  30004
    413	  14916	  30009
    414	  15005	  30330
    415	  15013	  30078
    416	  15269	  30628
    417	  14980	  30089
    418	  15420	  30394
    419	  15152	  30590
    420	  15153	  30013
    421	  15130	  30220
    422	  15066	  30037
    423	  15088	  30193
    424	  15025	  30450
    425	  15071	  30296
    426	  15286	  30497
    427	  15327	  30307
    428	  15383	  30268
    429	  15185	  30336
    430	  15093	  30380
    431	  15207	  30127
    432	  15058	  30495
    433	  14942	  30000
    434	  15333	  30465
    435	  14953	  30434
    436	  15240	  30343
    437	  15329	  30164
    438	  15292	  30118
    439	  15136	  30143
    440	  14951	  30197
    441	  15087	  30164
    442	  15120	  30440
    443	  15247	  30091
    444	  15243	  30408
    445	  14946	  30091
    446	  15202	  29919
    447	  15130	  29863
    448	  14837	  30047
    449	  14972	  30322
    450	  15000	  30050
    451	  15217	  30137
    452	  15101	  30478
    453	  15103	  30299
    454	  15218	  29955
    455	  15325	  30247
    456	  14896	  30082
    457	  15073	  30431
    458	  15095	  30310
    459	  15370	  30189
    460	  15263	  30016
    461	  15094	  30292
    462	  15014	  30147
    463	  15159	  30281
    464	  15239	  30444
    465	  15390	  30482
    466	  15196	  29955
    467	  15212	  30117
    468	  15005	  30041
    469	  15060	  30285
    470	  15173	  29803
    471	  14977	  30259
    472	  14940	  30193
    473	  15061	  30225
    474	  15043	  30237
    475	  14903	  30366
    476	  15225	  30299
    477	  15385	  30132
    478	  15130	  30313
    479	  15048	  30383
    480	  15216	  30181
    481	  15382	  30115
    482	  14872	  30109
    483	  14909	  30109
    484	  15172	  30214
    485	  15189	  30226
    486	  15014	  30075
    487	  15099	  30230
    488	  15128	  29864
    489	  15083	  30505
    490	  14963	  30082
    491	  15224	  30051
    492	  15111	  30339
    493	  14961	  30329
    494	  15194	  30335
    495	  15248	  30288
    496	  15075	  29987
    497	  15168	  30403
    498	  15019	  30105
    499	  15316	  30303
    500	  15086	  29907
    501	  15018	  30038
    502	  14824	  30415
    503	  15110	  30184
    504	  15201	  29990
    505	  15191	  30200
    506	  15005	  29951
    507	  15086	  29979
    508	  15022	  30167
    509	  15127	  30220
    510	  15107	  29978
    511	  15131	      0
    512	  14999	      0
    513	  14979	      0
    514	  15089	      0
    515	  15060	      0
    516	  14852	      0
    517	  14929	      0
    518	  15114	      0
    519	  14985	      0
    520	  14993	      0
    521	  15214	      0
    522	  14928	      0
    523	  15083	      0
