Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\fe_3O_4.txt
Date / time: 18.11.2024, 14:33:24
Sample: Fe_3O_4
Comments: 80.0 mV
Channel #	Counts	Counts (folded)
    669	  72337	      0
    670	  72655	      0
    671	  72620	      0
    672	  72090	      0
    673	  72102	      0
    674	  71275	      0
    675	  70371	      0
    676	  69518	      0
    677	  67482	      0
    678	  66761	      0
    679	  68378	      0
    680	  68407	      0
    681	  69882	      0
    682	  71228	      0
    683	  72298	      0
    684	  72391	      0
    685	  73068	      0
    686	  73155	      0
    687	  73297	      0
    688	  74020	      0
    689	  73789	      0
    690	  73322	      0
    691	  73496	      0
    692	  73791	      0
    693	  73829	      0
    694	  73738	      0
    695	  73472	      0
    696	  73331	      0
    697	  73984	      0
    698	  73635	      0
    699	  73199	      0
    700	  73771	      0
    701	  73201	      0
    702	  73635	      0
    703	  74294	      0
    704	  73735	      0
    705	  73905	      0
    706	  73289	      0
    707	  73180	      0
    708	  73253	      0
    709	  72973	      0
    710	  71970	      0
    711	  71320	      0
    712	  69611	      0
    713	  70407	      0
    714	  70793	      0
    715	  72244	      0
    716	  72151	      0
    717	  72514	      0
    718	  71445	      0
    719	  70923	      0
    720	  69437	      0
    721	  68583	      0
    722	  68891	      0
    723	  70241	      0
    724	  72044	      0
    725	  72492	      0
    726	  72953	      0
    727	  73198	      0
    728	  73883	      0
    729	  74068	      0
    730	  73454	      0
    731	  73420	      0
    732	  73925	      0
    733	  73793	      0
    734	  74006	      0
    735	  73352	      0
    736	  73995	      0
    737	  73764	      0
    738	  73616	      0
    739	  73838	      0
    740	  73859	      0
    741	  73574	      0
    742	  73765	      0
    743	  73801	      0
    744	  73830	      0
    745	  74369	      0
    746	  73862	      0
    747	  74055	      0
    748	  73777	      0
    749	  73682	      0
    750	  73669	      0
    751	  73321	      0
    752	  72936	      0
    753	  73414	      0
    754	  72479	      0
    755	  71381	      0
    756	  71534	      0
    757	  72217	      0
    758	  72267	      0
    759	  71583	      0
    760	  71127	      0
    761	  70539	      0
    762	  71339	      0
    763	  72576	      0
    764	  72776	      0
    765	  73065	      0
    766	  73175	      0
    767	  73586	      0
    768	  73590	      0
    769	  73819	      0
    770	  73643	      0
    771	  73975	      0
    772	  73653	      0
    773	  73951	      0
    774	  74046	      0
    775	  74155	      0
    776	  74146	      0
    777	  73916	      0
    778	  73639	      0
    779	  73847	      0
    780	  73012	      0
    781	  73624	      0
    782	  73574	      0
    783	  73305	      0
    784	  73252	      0
    785	  72826	      0
    786	  71659	      0
    787	  71141	      0
    788	  71246	      0
    789	  71223	      0
    790	  70582	      0
    791	  70699	      0
    792	  71640	      0
    793	  72438	      0
    794	  73737	      0
    795	  73496	      0
    796	  74121	      0
    797	  73642	      0
    798	  74115	      0
    799	  74054	      0
    800	  73370	      0
    801	  74039	      0
    802	  73689	      0
    803	  74101	      0
    804	  73767	      0
    805	  74048	      0
    806	  73866	      0
    807	  73949	      0
    808	  74409	      0
    809	  73980	      0
    810	  73746	      0
    811	  74209	      0
    812	  73963	      0
    813	  74504	      0
    814	  73553	      0
    815	  73934	      0
    816	  73693	      0
    817	  74361	      0
    818	  74016	      0
    819	  73464	      0
    820	  73628	      0
    821	  73570	      0
