TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
3.24459	30255	3.24459	30210.5	3.24459	30210.5
3.24625	30307	3.24625	30210.5	3.24625	30210.5
3.24778	29890	3.24778	30210.5	3.24778	30210.5
3.24919	30695	3.24919	30210.5	3.24919	30210.5
3.25047	30115	3.25047	30210.5	3.25047	30210.5
3.25164	30485	3.25164	30210.5	3.25164	30210.5
3.25268	30412	3.25268	30210.5	3.25268	30210.5
3.2536	30158	3.2536	30210.5	3.2536	30210.5
3.25439	30174	3.25439	30210.5	3.25439	30210.5
3.25507	29998	3.25507	30210.5	3.25507	30210.5
3.25562	30448	3.25562	30210.5	3.25562	30210.5
3.25605	30160	3.25605	30210.6	3.25605	30210.6
3.25636	30412	3.25636	30210.6	3.25636	30210.6
3.25654	30117	3.25654	30210.6	3.25654	30210.6
3.2566	30410	3.2566	30210.6	3.2566	30210.6
