Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\rotes_bls.txt
Date / time: 19.11.2024, 16:07:00
Sample: Rotes Bls
Comments: 8.2 mV
Channel #	Counts	Counts (folded)
    434	  19441	  38939
    435	  19685	  39074
    436	  19453	  38909
    437	  19456	  39158
    438	  19349	  39128
    439	  19537	  39088
    440	  19723	  38722
    441	  19653	  39197
    442	  19427	  39031
    443	  19846	  39162
    444	  19709	  38994
    445	  19618	  39245
    446	  19396	  39469
    447	  19636	  38955
    448	  19613	  39011
    449	  19491	  39045
    450	  19538	  39127
    451	  19434	  39144
    452	  19457	  39209
    453	  19546	  39111
    454	  19614	  38906
    455	  19618	  38974
    456	  19478	  39533
    457	  19513	  39241
    458	  19754	  38744
    459	  19612	  39329
    460	  19333	  38731
    461	  19628	  38648
    462	  19487	  39184
    463	  19273	  39283
    464	  19593	  39537
    465	  19700	  39093
    466	  19698	  39006
    467	  19593	  39107
    468	  19553	  38803
    469	  19659	  39280
    470	  19453	  39155
    471	  19629	  39056
    472	  19618	  38948
    473	  19628	  39007
    474	  19400	  38836
    475	  19557	  39015
    476	  19337	  39061
    477	  19506	  38984
    478	  19576	  38804
    479	  19326	  39142
    480	  19552	  39276
    481	  19662	  38825
    482	  19600	  38731
    483	  19475	  39315
    484	  19198	  39164
    485	  19643	  38852
    486	  19529	  38958
    487	  19529	  39189
    488	  19489	  39196
    489	  19385	  38912
    490	  19711	  39018
    491	  19288	  38793
    492	  19572	  39031
    493	  19406	  39241
    494	  19628	  38755
    495	  19332	  38806
    496	  19418	  39005
    497	  19450	  39159
    498	  19438	  39261
    499	  19327	  39040
    500	  19606	  39131
    501	  19454	  39122
    502	  19635	  38673
    503	  19675	  38989
    504	  19272	  39147
    505	  19433	  39132
    506	  19468	  38705
    507	  19566	  39110
    508	  19299	  39070
    509	  19573	  38928
    510	  19509	  39082
    511	  19500	      0
    512	  19587	      0
    513	  19495	      0
    514	  19428	      0
    515	  19561	      0
    516	  19537	      0
    517	  19406	      0
    518	  19566	      0
    519	  19679	      0
    520	  19556	      0
    521	  19401	      0
    522	  19447	      0
    523	  19496	      0
    524	  19586	      0
    525	  19655	      0
    526	  19832	      0
    527	  19567	      0
    528	  19356	      0
    529	  19337	      0
    530	  19909	      0
    531	  19403	      0
    532	  19387	      0
    533	  19446	      0
    534	  19624	      0
    535	  19485	      0
    536	  19804	      0
    537	  19469	      0
    538	  19323	      0
    539	  19635	      0
    540	  19672	      0
    541	  19533	      0
    542	  19350	      0
    543	  19676	      0
    544	  19480	      0
    545	  19252	      0
    546	  19658	      0
