Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

1.94355206	-0.71112200	-0.83077020
1.94376006	-0.71112200	-0.83077020
1.94396806	-0.71112200	-0.87029400
1.94417606	-0.67159820	-0.87029400
1.94438406	-0.71112200	-0.87029400
1.94459206	-0.71112200	-0.87029400
1.94480006	-0.67159820	-0.87029400
1.94500806	-0.71112200	-0.87029400
1.94521606	-0.67159820	-0.83077020
1.94542406	-0.67159820	-0.87029400
1.94563206	-0.71112200	-0.87029400
1.94584006	-0.71112200	-0.87029400
1.94604806	-0.67159820	-0.83077020
1.94625606	-0.71112200	-0.87029400
1.94646406	-0.67159820	-0.87029400
1.94667206	-0.71112200	-0.87029400
1.94688006	-0.71112200	-0.87029400
1.94708806	-0.71112200	-0.87029400
1.94729606	-0.71112200	-0.83077020
1.94750406	-0.71112200	-0.87029400
1.94771206	-0.71112200	-0.87029400
1.94792006	-0.71112200	-0.83077020
1.94812806	-0.71112200	-0.87029400
1.94833606	-0.71112200	-0.87029400
1.94854406	-0.75064590	-0.83077020
1.94875206	-0.71112200	-0.83077020
1.94896006	-0.67159820	-0.83077020
1.94916806	-0.71112200	-0.90997170
1.94937606	-0.67159820	-0.83077020
1.94958406	-0.67159820	-0.87029400
1.94979206	-0.75064590	-0.87029400
1.95000006	-0.71112200	-0.87029400
1.95020806	-0.67159820	-0.90997170
1.95041606	-0.71112200	-0.87029400
1.95062406	-0.71112200	-0.87029400
1.95083206	-0.71112200	-0.87029400
1.95104006	-0.71112200	-0.87029400
1.95124806	-0.75064590	-0.87029400
1.95145606	-0.71112200	-0.87029400
1.95166406	-0.71112200	-0.87029400
1.95187206	-0.75064590	-0.90997170
1.95208006	-0.75064590	-0.87029400
1.95228806	-0.71112200	-0.87029400
1.95249606	-0.67159820	-0.87029400
1.95270406	-0.71112200	-0.87029400
1.95291206	-0.71112200	-0.87029400
1.95312006	-0.71112200	-0.90997170
1.95332806	-0.75064590	-0.87029400
1.95353606	-0.71112200	-0.87029400
1.95374406	-0.71112200	-0.87029400
1.95395206	-0.71112200	-0.87029400
1.95416006	-0.71112200	-0.83077020
1.95436806	-0.71112200	-0.87029400
1.95457606	-0.71112200	-0.87029400
1.95478406	-0.75064590	-0.87029400
1.95499206	-0.71112200	-0.87029400
1.95520006	-0.71112200	-0.83077020
1.95540806	-0.75064590	-0.87029400
1.95561606	-0.75064590	-0.87029400
1.95582406	-0.75064590	-0.87029400
1.95603206	-0.67159820	-0.87029400
1.95624006	-0.71112200	-0.90997170
1.95644806	-0.71112200	-0.87029400
1.95665606	-0.71112200	-0.87029400
1.95686406	-0.71112200	-0.87029400
1.95707206	-0.71112200	-0.87029400
1.95728006	-0.71112200	-0.87029400
1.95748806	-0.75064590	-0.90997170
1.95769606	-0.75064590	-0.83077020
1.95790406	-0.75064590	-0.90997170
1.95811206	-0.75064590	-0.87029400
1.95832006	-0.71112200	-0.87029400
1.95852806	-0.71112200	-0.87029400
1.95873606	-0.79016980	-0.87029400
1.95894406	-0.75064590	-0.83077020
1.95915206	-0.75064590	-0.90997170
1.95936006	-0.71112200	-0.87029400
1.95956806	-0.75064590	-0.83077020
1.95977606	-0.75064590	-0.87029400
1.95998406	-0.75064590	-0.87029400
1.96019206	-0.71112200	-0.87029400
1.96040006	-0.75064590	-0.87029400
1.96060806	-0.71112200	-0.87029400
1.96081606	-0.71112200	-0.87029400
1.96102406	-0.71112200	-0.90997170
1.96123206	-0.75064590	-0.87029400
1.96144006	-0.75064590	-0.90997170
1.96164806	-0.75064590	-0.90997170
1.96185606	-0.75064590	-0.87029400
1.96206406	-0.79016980	-0.87029400
1.96227206	-0.75064590	-0.87029400
1.96248006	-0.75064590	-0.90997170
1.96268806	-0.71112200	-0.87029400
1.96289606	-0.75064590	-0.90997170
1.96310406	-0.75064590	-0.90997170
1.96331206	-0.75064590	-0.87029400
1.96352006	-0.71112200	-0.87029400
1.96372806	-0.75064590	-0.87029400
1.96393606	-0.75064590	-0.87029400
1.96414406	-0.79016980	-0.90997170
1.96435206	-0.75064590	-0.90997170
1.96456006	-0.75064590	-0.90997170
1.96476806	-0.75064590	-0.87029400
1.96497606	-0.75064590	-0.90997170
1.96518406	-0.71112200	-0.87029400
1.96539206	-0.75064590	-0.90997170
1.96560006	-0.75064590	-0.87029400
1.96580806	-0.75064590	-0.90997170
1.96601606	-0.71112200	-0.90997170
1.96622406	-0.75064590	-0.90997170
1.96643206	-0.71112200	-0.87029400
1.96664006	-0.75064590	-0.90997170
1.96684806	-0.75064590	-0.87029400
1.96705606	-0.71112200	-0.90997170
1.96726406	-0.71112200	-0.87029400
1.96747206	-0.79016980	-0.90997170
1.96768006	-0.75064590	-0.94949560
1.96788806	-0.75064590	-0.90997170
1.96809606	-0.75064590	-0.90997170
1.96830406	-0.75064590	-0.94949560
1.96851206	-0.75064590	-0.90997170
1.96872006	-0.75064590	-0.87029400
1.96892806	-0.79016980	-0.90997170
1.96913606	-0.75064590	-0.87029400
1.96934406	-0.75064590	-0.90997170
1.96955206	-0.75064590	-0.90997170
1.96976006	-0.75064590	-0.90997170
1.96996806	-0.75064590	-0.90997170
1.97017606	-0.75064590	-0.90997170
1.97038406	-0.75064590	-0.90997170
1.97059206	-0.79016980	-0.90997170
1.97080006	-0.75064590	-0.87029400
1.97100806	-0.75064590	-0.90997170
1.97121606	-0.75064590	-0.90997170
1.97142406	-0.75064590	-0.90997170
1.97163206	-0.75064590	-0.87029400
1.97184006	-0.75064590	-0.90997170
1.97204806	-0.75064590	-0.87029400
1.97225606	-0.75064590	-0.87029400
1.97246406	-0.71112200	-0.87029400
1.97267206	-0.75064590	-0.87029400
1.97288006	-0.79016980	-0.90997170
1.97308806	-0.75064590	-0.94949560
1.97329606	-0.75064590	-0.90997170
1.97350406	-0.75064590	-0.90997170
1.97371206	-0.75064590	-0.90997170
1.97392006	-0.75064590	-0.90997170
1.97412806	-0.79016980	-0.90997170
1.97433606	-0.75064590	-0.94949560
1.97454406	-0.75064590	-0.90997170
1.97475206	-0.71112200	-0.87029400
1.97496006	-0.75064590	-0.94949560
1.97516806	-0.75064590	-0.87029400
1.97537606	-0.75064590	-0.90997170
1.97558406	-0.75064590	-0.90997170
1.97579206	-0.75064590	-0.90997170
1.97600006	-0.75064590	-0.90997170
1.97620806	-0.79016980	-0.90997170
1.97641606	-0.75064590	-0.87029400
1.97662406	-0.79016980	-0.90997170
1.97683206	-0.75064590	-0.87029400
1.97704006	-0.75064590	-0.90997170
1.97724806	-0.79016980	-0.87029400
1.97745606	-0.75064590	-0.90997170
1.97766406	-0.79016980	-0.94949560
1.97787206	-0.75064590	-0.90997170
1.97808006	-0.75064590	-0.87029400
1.97828806	-0.79016980	-0.94949560
1.97849606	-0.75064590	-0.94949560
1.97870406	-0.79016980	-0.90997170
1.97891206	-0.79016980	-0.94949560
1.97912006	-0.79016980	-0.90997170
1.97932806	-0.75064590	-0.90997170
1.97953606	-0.75064590	-0.90997170
1.97974406	-0.79016980	-0.90997170
1.97995206	-0.79016980	-0.87029400
1.98016006	-0.75064590	-0.90997170
1.98036806	-0.79016980	-0.90997170
1.98057606	-0.75064590	-0.90997170
1.98078406	-0.79016980	-0.90997170
1.98099206	-0.79016980	-0.90997170
1.98120006	-0.75064590	-0.90997170
1.98140806	-0.75064590	-0.94949560
1.98161606	-0.79016980	-0.90997170
1.98182406	-0.75064590	-0.90997170
1.98203206	-0.79016980	-0.90997170
1.98224006	-0.75064590	-0.90997170
1.98244806	-0.75064590	-0.90997170
1.98265606	-0.79016980	-0.90997170
1.98286406	-0.79016980	-0.90997170
1.98307206	-0.79016980	-0.90997170
1.98328006	-0.79016980	-0.87029400
1.98348806	-0.75064590	-0.90997170
1.98369606	-0.79016980	-0.94949560
1.98390406	-0.75064590	-0.90997170
1.98411206	-0.79016980	-0.90997170
1.98432006	-0.79016980	-0.94949560
1.98452806	-0.79016980	-0.90997170
1.98473606	-0.75064590	-0.90997170
1.98494406	-0.79016980	-0.90997170
1.98515206	-0.75064590	-0.90997170
1.98536006	-0.79016980	-0.90997170
1.98556806	-0.79016980	-0.94949560
1.98577606	-0.82969370	-0.94949560
1.98598406	-0.79016980	-0.94949560
1.98619206	-0.79016980	-0.90997170
1.98640006	-0.79016980	-0.94949560
1.98660806	-0.79016980	-0.94949560
1.98681606	-0.79016980	-0.94949560
1.98702406	-0.79016980	-0.94949560
1.98723206	-0.79016980	-0.94949560
1.98744006	-0.79016980	-0.94949560
1.98764806	-0.75064590	-0.90997170
1.98785606	-0.79016980	-0.90997170
1.98806406	-0.75064590	-0.94949560
1.98827206	-0.79016980	-0.90997170
1.98848006	-0.79016980	-0.94949560
1.98868806	-0.79016980	-0.90997170
1.98889606	-0.79016980	-0.90997170
1.98910406	-0.79016980	-0.90997170
1.98931206	-0.82969370	-0.94949560
1.98952006	-0.79016980	-0.94949560
1.98972806	-0.79016980	-0.90997170
1.98993606	-0.79016980	-0.94949560
1.99014406	-0.79016980	-0.94949560
1.99035206	-0.79016980	-0.90997170
1.99056006	-0.79016980	-0.94949560
1.99076806	-0.79016980	-0.94949560
1.99097606	-0.79016980	-0.94949560
1.99118406	-0.79016980	-0.90997170
1.99139206	-0.79016980	-0.94949560
1.99160006	-0.79016980	-0.94949560
1.99180806	-0.79016980	-0.94949560
1.99201606	-0.79016980	-0.94949560
1.99222406	-0.75064590	-0.94949560
1.99243206	-0.79016980	-0.94949560
1.99264006	-0.79016980	-0.90997170
1.99284806	-0.79016980	-0.94949560
1.99305606	-0.75064590	-0.94949560
1.99326406	-0.82969370	-0.94949560
1.99347206	-0.82969370	-0.90997170
1.99368006	-0.79016980	-0.94949560
1.99388806	-0.79016980	-0.90997170
1.99409606	-0.82969370	-0.90997170
1.99430406	-0.79016980	-0.90997170
1.99451206	-0.75064590	-0.90997170
1.99472006	-0.79016980	-0.94949560
1.99492806	-0.79016980	-0.94949560
1.99513606	-0.82969370	-0.94949560
1.99534406	-0.82969370	-0.90997170
1.99555206	-0.82969370	-0.94949560
1.99576006	-0.79016980	-0.94949560
1.99596806	-0.79016980	-0.94949560
1.99617606	-0.79016980	-0.94949560
1.99638406	-0.79016980	-0.94949560
1.99659206	-0.82969370	-0.94949560
1.99680006	-0.79016980	-0.94949560
1.99700806	-0.79016980	-0.90997170
1.99721606	-0.79016980	-0.94949560
1.99742406	-0.79016980	-0.94949560
1.99763206	-0.79016980	-0.94949560
1.99784006	-0.82969370	-0.94949560
1.99804806	-0.82969370	-0.90997170
1.99825606	-0.79016980	-0.94949560
1.99846406	-0.82969370	-0.90997170
1.99867206	-0.82969370	-0.90997170
1.99888006	-0.79016980	-0.94949560
1.99908806	-0.82969370	-0.94949560
1.99929606	-0.79016980	-0.90997170
1.99950406	-0.82969370	-0.98901950
1.99971206	-0.79016980	-0.94949560
1.99992006	-0.79016980	-0.94949560
2.00012806	-0.79016980	-0.94949560
2.00033606	-0.82969370	-0.98901950
2.00054406	-0.79016980	-0.90997170
2.00075206	-0.79016980	-0.98901950
2.00096006	-0.75064590	-0.98901950
2.00116806	-0.79016980	-0.94949560
2.00137606	-0.79016980	-0.94949560
2.00158406	-0.82969370	-0.94949560
2.00179206	-0.79016980	-0.94949560
2.00200006	-0.82969370	-0.94949560
2.00220806	-0.82969370	-0.94949560
2.00241606	-0.82969370	-0.90997170
2.00262406	-0.79016980	-0.94949560
2.00283206	-0.82969370	-0.94949560
2.00304006	-0.79016980	-0.94949560
2.00324806	-0.79016980	-0.94949560
2.00345606	-0.82969370	-0.94949560
2.00366406	-0.82969370	-0.94949560
2.00387206	-0.82969370	-0.94949560
2.00408006	-0.86921750	-0.94949560
2.00428806	-0.79016980	-0.94949560
2.00449606	-0.82969370	-0.94949560
2.00470406	-0.79016980	-0.90997170
2.00491206	-0.82969370	-0.98901950
2.00512006	-0.79016980	-0.98901950
2.00532806	-0.79016980	-0.94949560
2.00553606	-0.82969370	-0.94949560
2.00574406	-0.82969370	-0.98901950
2.00595206	-0.79016980	-0.98901950
2.00616006	-0.82969370	-0.94949560
2.00636806	-0.82969370	-0.94949560
2.00657606	-0.82969370	-0.98901950
2.00678406	-0.82969370	-0.98901950
2.00699206	-0.82969370	-0.94949560
2.00720006	-0.79016980	-0.94949560
2.00740806	-0.82969370	-0.98901950
2.00761606	-0.79016980	-0.94949560
2.00782406	-0.82969370	-0.98901950
2.00803206	-0.82969370	-0.98901950
2.00824006	-0.82969370	-0.98901950
2.00844806	-0.79016980	-0.98901950
2.00865606	-0.82969370	-0.98901950
2.00886406	-0.79016980	-0.94949560
2.00907206	-0.82969370	-0.94949560
2.00928006	-0.82969370	-0.98901950
2.00948806	-0.82969370	-0.98901950
2.00969606	-0.79016980	-0.98901950
2.00990406	-0.82969370	-0.98901950
2.01011206	-0.82969370	-0.98901950
2.01032006	-0.79016980	-0.98901950
2.01052806	-0.79016980	-0.94949560
2.01073606	-0.86921750	-0.94949560
2.01094406	-0.82969370	-0.94949560
2.01115206	-0.82969370	-0.98901950
2.01136006	-0.86921750	-0.98901950
2.01156806	-0.82969370	-0.98901950
2.01177606	-0.82969370	-0.94949560
2.01198406	-0.82969370	-0.98901950
2.01219206	-0.82969370	-0.98901950
2.01240006	-0.82969370	-0.98901950
2.01260806	-0.82969370	-0.94949560
2.01281606	-0.86921750	-0.98901950
2.01302406	-0.82969370	-0.94949560
2.01323206	-0.82969370	-0.94949560
2.01344006	-0.82969370	-0.98901950
2.01364806	-0.82969370	-0.94949560
2.01385606	-0.86921750	-0.98901950
2.01406406	-0.82969370	-0.94949560
2.01427206	-0.82969370	-0.94949560
2.01448006	-0.82969370	-0.98901950
2.01468806	-0.82969370	-0.98901950
2.01489606	-0.86921750	-0.98901950
2.01510406	-0.86921750	-0.94949560
2.01531206	-0.86921750	-0.94949560
2.01552006	-0.82969370	-0.98901950
2.01572806	-0.82969370	-0.98901950
2.01593606	-0.82969370	-0.94949560
2.01614406	-0.86921750	-0.94949560
2.01635206	-0.79016980	-0.94949560
2.01656006	-0.82969370	-0.98901950
2.01676806	-0.79016980	-0.98901950
2.01697606	-0.86921750	-0.98901950
2.01718406	-0.82969370	-0.94949560
2.01739206	-0.86921750	-0.98901950
2.01760006	-0.82969370	-0.94949560
2.01780806	-0.82969370	-0.98901950
2.01801606	-0.82969370	-0.98901950
2.01822406	-0.82969370	-0.94949560
2.01843206	-0.82969370	-0.98901950
2.01864006	-0.82969370	-0.98901950
2.01884806	-0.82969370	-0.98901950
2.01905606	-0.86921750	-0.98901950
2.01926406	-0.82969370	-0.98901950
2.01947206	-0.82969370	-0.98901950
