Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:10:05
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  -2,661
Schilddrift / K/min   =  -0,437
Probentemperatur / �C =   2,688
Probendrift / K/min   =  -0,771
t / s	T_Probe / C
174,53	4,7116
174,90	5,1728
175,27	5,1728
175,64	5,1216
176,09	4,8653
176,45	4,8653
176,82	5,6085
177,18	5,6085
177,54	4,9166
177,89	5,2753
178,37	5,2753
178,74	5,3779
179,11	5,5573
179,48	5,5573
179,86	4,9422
180,23	4,9422
180,59	4,9166
180,95	5,6085
181,32	5,6085
181,69	4,7372
182,06	5,3266
182,44	5,3266
182,81	5,6854
183,18	5,6854
183,55	4,9166
183,92	5,5829
184,30	5,5829
184,66	4,9422
185,03	4,9422
185,40	5,1472
185,78	5,6854
186,15	5,6854
186,53	4,9678
186,89	5,4804
187,24	5,4804
187,61	5,6342
188,10	4,9166
188,46	4,9166
188,95	5,6598
189,32	4,9934
189,68	4,9934
190,03	5,0447
190,39	5,0447
190,75	5,1472
191,11	5,6085
191,47	5,6085
191,96	5,1472
192,33	5,1728
192,72	5,1728
193,09	5,0191
193,45	5,5316
193,82	5,5316
194,19	5,8392
194,57	5,8392
194,94	5,1472
195,31	5,8392
195,67	5,8392
196,04	5,1985
196,41	5,1985
196,78	5,2241
197,28	5,7880
197,67	5,1216
198,06	5,1216
198,43	5,9674
198,80	5,9674
199,18	5,3266
199,55	5,8392
199,92	5,8392
200,29	5,1216
200,65	5,7111
201,02	5,7111
201,38	6,0443
201,74	6,0443
202,10	5,3779
202,47	5,9161
202,83	5,9161
203,32	6,1468
203,69	5,1216
204,04	5,1216
204,54	5,9161
204,90	5,1985
205,27	5,1985
205,63	5,6342
206,11	5,3010
206,48	5,3010
206,84	5,6854
207,34	5,4035
207,72	5,4035
208,09	5,5829
208,44	5,7880
208,81	5,7880
209,17	6,1212
209,52	6,1212
210,02	5,3010
210,39	5,7623
210,76	5,7623
211,12	5,4291
211,49	5,9930
211,84	5,9930
212,21	6,0187
212,69	5,3266
213,05	5,3266
213,41	6,3263
213,90	5,3266
214,40	5,3266
214,77	6,0699
215,15	6,2237
215,52	6,2237
215,89	5,4035
216,26	5,8905
216,63	5,8905
217,00	6,2494
217,38	6,2494
217,75	5,4804
218,12	6,0699
218,49	6,0699
218,86	5,4548
219,31	5,5829
219,67	5,5829
220,04	5,6342
220,40	5,6342
220,76	5,5060
221,12	6,1212
221,68	5,6854
222,06	5,6854
222,43	6,2494
222,80	6,2494
223,17	5,6342
223,55	6,1212
223,92	6,1212
224,29	5,4035
224,67	5,9930
225,04	5,9930
225,42	6,3519
225,79	6,3519
226,15	5,6085
226,77	6,2237
227,13	5,5573
227,49	5,5573
227,97	5,5573
228,33	5,7111
228,69	5,7111
229,06	5,4804
229,65	5,6598
230,11	5,8649
230,48	5,8649
230,85	5,7880
231,22	5,7880
231,59	5,6598
231,97	6,2750
232,33	6,2750
232,68	5,5573
233,05	6,0956
233,41	6,0956
233,90	6,2750
234,27	5,6085
234,64	5,6085
235,02	6,4545
235,39	6,4545
235,76	5,7111
236,12	6,3263
236,49	6,3263
236,85	5,6085
237,31	5,8136
237,68	5,8136
238,05	5,8905
238,45	6,1212
238,82	5,7111
239,19	6,4032
239,56	6,4032
239,94	5,6342
240,31	6,3263
240,68	6,3263
241,05	5,7111
241,42	5,7111
241,79	5,7367
242,17	6,3519
242,53	6,3519
242,89	5,6085
243,26	6,1725
243,63	6,1725
244,00	6,4545
244,40	6,4545
244,77	5,6598
245,13	6,2494
245,48	6,2494
245,85	5,6342
246,20	5,6342
246,56	5,7880
246,92	5,7880
247,41	5,7880
247,78	5,7880
248,40	5,7880
248,77	5,7880
249,14	5,7880
249,50	5,7880
250,02	5,7880
250,39	5,5829
250,88	5,5573
251,25	6,5057
251,73	5,7880
252,10	5,7880
252,47	5,8136
252,87	6,0699
253,24	6,0699
253,62	6,5827
253,99	6,5827
254,36	5,8136
254,73	6,3006
255,10	6,3006
255,47	5,6342
255,86	6,0699
256,23	6,0699
256,60	6,5314
256,98	6,5314
257,35	5,7880
257,70	6,2750
258,06	6,2750
258,43	6,0956
258,79	6,0956
259,14	5,6598
259,50	6,2750
259,99	6,2750
260,36	6,1212
260,73	6,4288
261,10	6,4288
261,47	5,6342
261,86	6,0699
262,23	6,0699
262,60	6,5314
262,98	6,5314
263,35	5,7880
263,72	6,3006
264,12	6,3006
264,49	5,7111
264,85	6,1981
265,21	6,1981
265,58	6,4545
265,94	6,4545
266,30	5,6598
266,67	6,4032
267,16	6,4032
267,53	6,5314
267,89	6,4545
268,36	6,4545
268,73	6,4032
269,09	6,4288
269,45	6,4288
269,82	6,1212
270,18	6,1212
270,53	5,7111
270,89	6,1725
271,37	6,1725
271,74	6,1725
272,11	6,5314
272,47	6,5314
272,83	5,7880
273,19	5,7880
273,55	5,7367
273,91	6,3519
274,43	5,8905
274,81	5,8905
275,18	6,5827
275,55	6,5827
275,92	5,7367
276,29	6,2237
276,67	6,2237
277,04	6,0956
277,41	6,0956
277,77	5,8649
278,14	6,4801
278,51	6,4801
278,88	5,7111
279,26	6,2237
279,63	6,2237
280,00	6,5570
280,40	6,5570
280,77	5,8136
281,14	6,3776
281,51	6,3776
281,88	5,6598
282,26	6,2237
282,63	6,2237
283,00	6,5570
283,40	6,5570
283,77	5,8136
284,13	6,4032
284,49	6,4032
284,85	5,6854
285,21	5,6854
285,70	5,9161
286,07	6,3776
286,46	6,0956
286,82	6,0956
287,18	6,5314
287,55	6,5314
287,93	5,7367
288,29	6,2237
288,65	6,2237
289,14	6,1212
289,52	5,6854
289,89	5,6854
290,26	5,7367
290,71	5,8392
291,08	5,8392
291,45	5,9418
291,82	5,9418
292,19	5,8392
292,56	6,4032
292,94	6,4032
293,31	5,7111
293,68	6,3776
294,05	6,3776
294,43	6,3519
294,81	6,3519
295,17	5,9161
295,54	6,4545
295,91	6,4545
296,28	5,7111
296,65	6,2237
297,03	6,2237
297,40	6,5314
297,80	6,5314
298,17	5,8136
298,54	6,3776
298,91	6,3776
299,28	5,6598
299,67	6,2237
300,04	6,2237
300,40	6,5570
300,76	6,5570
301,12	5,8905
301,48	6,3263
301,84	6,3263
302,19	6,4801
302,67	5,6598
303,04	5,6598
303,41	6,6339
303,79	6,6339
304,14	5,8649
304,50	6,3519
304,87	6,3519
305,22	6,0699
305,62	6,0699
305,97	5,7111
306,34	6,5057
306,83	5,7367
307,20	5,7367
307,58	6,5827
307,95	6,5827
308,32	5,7111
308,69	6,1981
309,06	6,1981
309,44	6,0956
309,82	6,0956
310,18	5,8392
310,55	6,5057
310,92	6,5057
311,29	5,7367
311,67	6,3263
312,27	6,5314
312,63	6,5314
313,12	6,7621
313,49	5,5829
313,85	5,5829
314,21	6,1725
314,68	5,6598
315,05	5,6598
315,41	6,4288
315,77	6,4288
316,12	5,6598
316,47	6,3263
316,85	6,3263
317,22	6,3519
317,73	5,6854
318,10	5,6854
318,46	5,8649
318,82	5,8649
319,18	5,9930
319,54	6,4032
320,11	5,6598
320,50	5,6598
320,87	5,9161
321,25	6,0443
321,62	6,0443
321,99	6,4801
322,35	6,4801
