Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:34:54
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -63,454
Schilddrift / K/min   =  -0,031
Probentemperatur / �C = -56,204
Probendrift / K/min   =  -0,191
t / s	T_Probe / C
217,47	-53,339
217,84	-52,911
218,22	-52,911
218,58	-53,314
219,08	-53,087
219,44	-53,087
219,80	-53,263
220,16	-52,861
220,53	-52,861
220,90	-52,861
221,31	-51,578
221,68	-53,213
222,04	-52,861
222,43	-52,861
222,80	-53,439
223,17	-52,861
223,54	-52,861
223,93	-52,836
224,32	-51,578
224,70	-53,238
225,06	-52,811
225,43	-52,811
225,80	-53,314
226,16	-52,836
226,53	-52,836
226,90	-52,861
227,28	-52,861
227,65	-53,364
228,02	-52,861
228,39	-52,861
228,75	-53,263
229,14	-52,936
229,63	-52,936
229,99	-52,685
230,34	-52,785
230,70	-52,785
231,06	-52,760
231,43	-52,760
231,78	-53,314
232,15	-52,886
232,52	-52,886
232,89	-52,785
233,25	-52,785
233,61	-53,339
233,98	-52,785
234,34	-52,785
234,70	-52,911
235,07	-52,911
235,45	-53,364
235,82	-52,886
236,19	-52,886
236,56	-53,163
236,95	-52,987
237,32	-52,987
237,68	-52,735
238,17	-53,364
238,55	-53,364
238,91	-52,836
239,43	-53,339
239,80	-53,339
240,19	-53,112
240,56	-52,987
240,92	-52,987
241,28	-52,710
241,64	-52,710
241,99	-53,263
242,35	-52,911
242,72	-52,911
243,09	-52,785
243,45	-52,785
243,81	-53,339
244,18	-52,811
244,54	-52,811
244,91	-52,886
245,42	-53,339
245,79	-53,339
246,16	-53,087
246,54	-52,886
246,91	-52,886
247,26	-52,760
247,62	-52,760
247,98	-53,288
248,34	-52,760
248,70	-52,760
249,06	-52,811
249,42	-52,811
249,78	-53,314
250,14	-52,785
250,50	-52,785
250,86	-52,811
251,22	-52,811
251,58	-53,238
251,94	-52,811
252,44	-52,811
252,80	-52,685
253,28	-52,735
253,63	-52,735
254,00	-53,213
254,37	-52,811
254,73	-52,811
255,08	-52,785
255,45	-52,785
255,80	-53,339
256,17	-52,836
256,54	-52,836
256,91	-52,760
257,41	-53,314
257,77	-53,314
258,13	-53,163
258,50	-53,163
258,87	-53,112
259,24	-52,861
259,61	-52,861
259,99	-53,339
260,36	-53,012
260,72	-53,012
261,21	-52,735
261,57	-53,339
261,94	-53,339
262,32	-52,911
262,70	-52,911
263,20	-53,314
263,57	-52,836
263,94	-52,987
264,30	-52,987
264,66	-52,760
265,02	-52,760
265,38	-53,288
265,74	-52,760
266,09	-52,760
266,45	-52,811
266,81	-52,811
267,17	-53,213
267,53	-52,936
267,90	-52,936
268,27	-52,785
268,78	-53,389
269,15	-53,389
269,52	-52,861
269,98	-53,263
270,34	-53,263
270,70	-52,911
271,06	-52,911
271,43	-53,263
271,79	-52,911
272,16	-52,911
272,53	-53,288
272,89	-53,288
273,25	-53,238
273,63	-52,861
274,00	-52,861
274,37	-53,263
274,74	-53,012
275,22	-53,012
275,60	-52,710
275,95	-52,760
276,31	-52,760
276,68	-52,861
277,04	-52,861
277,41	-53,389
277,91	-52,811
278,29	-52,811
278,65	-53,288
279,01	-52,836
279,39	-52,836
279,76	-53,364
280,13	-53,037
