Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:55:39
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  55,914
Schilddrift / K/min   =  -0,779
Probentemperatur / �C =  62,087
Probendrift / K/min   =  -0,792
t / s	T_Probe / C
287,31	65,712
287,67	65,712
288,03	65,008
288,39	65,634
288,75	65,634
289,11	65,843
289,47	65,843
289,83	64,930
290,19	65,608
290,55	65,608
290,91	65,712
291,27	65,712
291,63	64,982
291,99	65,608
292,35	65,608
292,71	65,686
293,08	65,686
293,44	64,982
293,80	65,817
294,17	65,817
294,54	65,869
294,89	65,869
295,25	65,034
295,61	65,686
295,97	65,686
296,33	65,843
296,70	65,843
297,07	65,112
297,43	65,739
297,79	65,739
298,13	65,765
298,50	65,765
298,87	65,112
299,36	65,712
299,73	65,712
300,10	64,982
300,46	65,634
300,82	65,634
301,18	64,904
301,55	64,904
301,93	65,060
302,29	65,791
302,64	65,791
303,00	64,825
303,45	65,451
303,81	65,451
304,16	65,086
304,52	65,086
304,89	64,956
305,24	65,634
305,61	65,634
305,97	65,321
306,42	64,904
306,78	64,904
307,14	65,947
307,51	65,947
307,86	64,825
308,22	65,765
308,59	65,765
308,94	65,660
309,30	65,660
309,66	64,851
310,04	65,712
310,40	65,712
310,76	65,425
311,12	65,425
311,48	64,825
311,84	65,504
312,20	65,504
312,56	65,451
312,92	65,451
313,28	64,851
313,64	65,425
314,13	65,425
314,49	65,373
314,85	65,660
315,22	65,660
315,59	64,930
315,96	64,930
316,32	64,956
316,68	65,660
317,04	65,660
317,40	64,747
317,85	65,321
318,21	65,321
318,57	65,060
318,95	65,060
319,31	64,877
319,68	65,660
320,06	65,660
320,43	64,695
320,78	65,373
321,15	65,373
321,50	65,634
321,87	65,634
322,23	64,904
322,59	65,451
322,95	65,451
323,31	65,556
323,67	65,556
324,04	64,982
324,40	65,425
324,76	65,425
325,12	65,608
325,48	65,608
325,84	64,773
326,20	65,582
326,57	65,582
326,94	65,660
327,30	65,660
327,66	64,982
328,03	65,582
328,40	65,582
328,77	65,608
329,13	65,608
329,49	64,773
329,85	65,347
330,21	65,347
330,57	64,799
330,92	64,799
331,29	64,825
331,65	65,608
332,00	65,608
332,36	64,851
332,72	64,851
333,09	64,747
333,44	65,504
333,80	65,504
334,17	65,164
334,53	65,164
334,89	64,747
335,25	65,425
335,61	65,425
335,97	64,799
336,33	64,799
336,69	64,773
337,05	65,451
337,41	65,451
337,77	64,825
338,13	64,825
338,49	64,747
338,85	65,399
339,21	65,399
339,57	64,825
340,07	64,721
340,43	64,721
340,80	64,956
341,16	64,956
341,52	64,930
341,88	65,504
342,24	65,504
342,61	64,564
343,00	65,138
343,37	65,138
343,74	65,739
344,10	65,739
344,46	64,747
344,82	65,347
345,33	65,347
345,70	65,451
346,06	65,504
346,42	65,504
346,78	64,669
347,14	64,669
347,50	64,825
347,86	65,504
348,22	65,504
348,71	64,799
349,07	64,825
349,43	64,825
349,79	64,643
